Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,SentimentCategory
1078.jpg,1,12,11,1
1079.jpg,0,,,1
108.jpg,0,,,1
1080.jpg,1,12,12,1
1081.jpg,1,12,12,-1
1082.jpg,1,12,11,1
1083.jpg,0,,,1
1084.jpg,0,,,1
1085.jpg,0,,,1
1086.jpg,1,10,12,1
1087.jpg,0,,,1
1088.jpg,0,,,1
1089.jpg,0,,,0
109.jpg,1,12,11,0
1090.jpg,0,,,-1
1091.jpg,0,,,0
1092.jpg,0,,,1
1093.jpg,1,12,12,1
1094.jpg,0,,,1
1095.jpg,0,,,-1
1096.jpg,1,12,10,1
1097.jpg,1,12,12,-1
1098.jpg,0,,,1
1099.jpg,0,,,1
11.jpg,1,5,8,1
110.jpg,1,6,7,1
1100.jpg,1,10,11,1
1101.jpg,1,12,12,0
1102.jpg,0,,,-1
1103.jpg,0,,,1
1104.jpg,1,12,12,1
1105.jpg,0,,,0
1106.jpg,1,11,13,1
1107.jpg,1,11,5,1
1108.jpg,1,12,12,0
1109.jpg,1,12,12,-1
111.jpg,1,11,8,1
1110.jpg,1,12,12,0
1111.jpg,0,,,1
1112.jpg,1,12,11,1
1113.jpg,0,,,1
1114.jpg,0,,,1
1115.jpg,1,12,10,-1
1116.jpg,0,,,1
1117.jpg,0,,,0
1118.jpg,0,,,1
1119.jpg,1,11,12,-1
112.jpg,0,,,0
1120.jpg,1,12,11,1
1121.jpg,0,,,1
1122.jpg,0,,,1
1123.jpg,1,7,12,-1
1124.jpg,1,12,12,1
1125.jpg,1,6,12,1
1126.jpg,1,7,5,1
1127.jpg,1,12,7,0
1128.jpg,0,,,0
1129.jpg,0,,,0
113.jpg,1,7,11,1
1130.jpg,0,,,0
1131.jpg,0,,,0
1132.jpg,1,11,11,-1
1133.jpg,0,,,1
1134.jpg,0,,,0
1135.jpg,1,12,11,1
1136.jpg,1,12,12,0
1137.jpg,0,,,0
1138.jpg,1,12,12,-1
1139.jpg,0,,,1
114.jpg,0,,,1
1140.jpg,0,,,0
1141.jpg,0,,,-1
1142.jpg,0,,,1
1143.jpg,1,12,6,1
1144.jpg,0,,,1
1145.jpg,1,12,11,1
1146.jpg,1,12,10,1
1147.jpg,0,,,0
1148.jpg,1,12,12,0
1149.jpg,0,,,-1
115.jpg,0,,,-1
1150.jpg,0,,,-1
1151.jpg,0,,,1
1152.jpg,0,,,1
1153.jpg,1,12,12,-1
1154.jpg,0,,,0
1155.jpg,0,,,1
1156.jpg,0,,,0
1157.jpg,0,,,1
1158.jpg,1,12,12,0
1159.jpg,1,12,12,1
116.jpg,0,,,0
1160.jpg,1,12,10,0
1161.jpg,0,,,1
1162.jpg,0,,,0
1163.jpg,0,,,-1
1164.jpg,0,,,-1
1165.jpg,1,11,7,1
1166.jpg,0,,,-1
1167.jpg,0,,,1
1168.jpg,0,,,0
1169.jpg,1,10,10,1
117.jpg,1,11,10,1
1170.jpg,0,,,-1
1171.jpg,1,12,6,1
1172.jpg,0,,,1
1173.jpg,0,,,-1
1174.jpg,1,12,6,1
1175.jpg,0,,,1
1176.jpg,0,,,-1
1177.jpg,0,,,1
1178.jpg,0,,,1
1179.jpg,1,10,8,1
1180.jpg,0,,,1
1181.jpg,1,7,12,0
1182.jpg,1,12,7,1
1183.jpg,0,,,0
1184.jpg,1,12,12,-1
1185.jpg,0,,,1
1186.jpg,0,,,0
1187.jpg,0,,,-1
1188.jpg,1,12,5,1
1189.jpg,1,11,12,1
119.jpg,0,,,1
1190.jpg,1,10,12,-1
1191.jpg,0,,,-1
1192.jpg,0,,,1
1193.jpg,1,10,12,1
1194.jpg,0,,,1
1195.jpg,0,,,0
1196.jpg,1,7,13,1
1197.jpg,0,,,1
1198.jpg,0,,,0
1199.jpg,0,,,1
12.jpg,1,12,11,1
120.jpg,0,,,-1
1200.jpg,0,,,1
1201.jpg,0,,,0
1202.jpg,0,,,1
1203.jpg,0,,,1
1204.jpg,0,,,0
1205.jpg,0,,,1
1206.jpg,1,6,10,1
1207.jpg,0,,,-1
1208.jpg,1,10,11,0
1209.jpg,1,12,5,0
121.jpg,1,12,1,-1
1210.jpg,0,,,1
1211.jpg,1,10,12,1
1212.jpg,0,,,0
1213.jpg,1,12,12,0
1214.jpg,1,10,12,1
1215.jpg,0,,,1
1216.jpg,0,,,-1
1217.jpg,0,,,-1
1218.jpg,1,12,6,1
1219.jpg,0,,,1
122.jpg,0,,,1
1220.jpg,0,,,1
1221.jpg,0,,,0
1222.jpg,1,12,11,1
1223.jpg,0,,,0
1224.jpg,0,,,1
1225.jpg,0,,,-1
1226.jpg,0,,,1
1227.jpg,0,,,1
1228.jpg,1,8,11,0
1229.jpg,0,,,1
123.jpg,0,,,0
1230.jpg,0,,,1
1231.jpg,1,7,12,1
1232.jpg,1,12,12,-1
1233.jpg,1,10,11,0
1234.jpg,0,,,1
1235.jpg,0,,,1
1236.jpg,1,12,6,1
1237.jpg,1,12,6,-1
1238.jpg,0,,,-1
1239.jpg,1,8,7,-1
124.jpg,1,12,11,0
1240.jpg,0,,,1
1241.jpg,1,12,12,-1
1242.jpg,1,12,11,1
1243.jpg,1,12,12,1
1244.jpg,1,12,6,1
1245.jpg,1,12,12,-1
1246.jpg,0,,,0
1247.jpg,0,,,1
1248.jpg,1,12,11,1
1249.jpg,1,11,6,1
125.jpg,0,,,0
1250.jpg,0,,,1
1251.jpg,0,,,1
1252.jpg,1,12,10,1
1253.jpg,0,,,0
1254.jpg,0,,,-1
1255.jpg,0,,,1
1256.jpg,0,,,-1
1257.jpg,0,,,-1
1258.jpg,0,,,-1
1259.jpg,1,12,11,0
126.jpg,0,,,1
1260.jpg,1,8,4,1
1261.jpg,1,7,12,0
1262.jpg,1,4,12,1
1263.jpg,0,,,1
1264.jpg,0,,,1
1265.jpg,1,12,12,-1
1266.jpg,0,,,-1
1267.jpg,0,,,0
1268.jpg,0,,,-1
1269.jpg,1,12,12,0
127.jpg,0,,,0
1270.jpg,0,,,1
1271.jpg,0,,,-1
1272.jpg,1,12,12,-1
1273.jpg,1,11,12,1
1274.jpg,0,,,-1
1275.jpg,1,10,11,1
1276.jpg,1,12,12,-1
1277.jpg,0,,,1
1278.jpg,0,,,-1
1279.jpg,1,12,6,1
128.jpg,1,12,12,0
1280.jpg,1,12,12,-1
1281.jpg,1,12,12,0
1282.jpg,0,,,-1
1283.jpg,1,12,12,1
1284.jpg,1,12,5,-1
1285.jpg,0,,,0
1286.jpg,0,,,1
1287.jpg,0,,,1
1288.jpg,1,12,6,1
1289.jpg,0,,,1
129.jpg,0,,,1
1290.jpg,0,,,1
1291.jpg,1,12,12,-1
1292.jpg,0,,,1
1293.jpg,1,9,12,-1
1294.jpg,0,,,1
1295.jpg,1,12,11,0
1296.jpg,0,,,-1
1297.jpg,1,11,5,-1
1298.jpg,0,,,-1
1299.jpg,0,,,1
13.jpg,1,11,6,0
130.jpg,1,9,12,-1
1300.jpg,0,,,1
1301.jpg,0,,,0
1302.jpg,0,,,1
1303.jpg,1,11,11,1
1304.jpg,0,,,1
1305.jpg,1,10,12,-1
1306.jpg,1,12,9,-1
1307.jpg,0,,,-1
1308.jpg,0,,,-1
1309.jpg,1,10,12,0
131.jpg,0,,,1
1310.jpg,0,,,0
1311.jpg,1,5,7,1
1312.jpg,1,12,6,1
1313.jpg,1,12,12,-1
1314.jpg,1,12,10,1
1315.jpg,1,12,11,1
1316.jpg,1,12,12,0
1317.jpg,1,7,11,-1
1318.jpg,0,,,-1
1319.jpg,0,,,1
132.jpg,0,,,0
1320.jpg,0,,,-1
1321.jpg,0,,,-1
1322.jpg,0,,,1
1323.jpg,0,,,0
1324.jpg,0,,,-1
1325.jpg,0,,,-1
1326.jpg,1,11,6,1
1327.jpg,1,10,10,1
1328.jpg,1,4,12,1
1329.jpg,0,,,1
133.jpg,1,12,10,0
1330.jpg,1,12,12,-1
1331.jpg,1,5,11,-1
1332.jpg,0,,,-1
1333.jpg,0,,,1
1334.jpg,0,,,-1
1335.jpg,0,,,1
1336.jpg,1,9,9,-1
1337.jpg,1,11,12,-1
1338.jpg,0,,,1
1339.jpg,1,9,9,-1
134.jpg,1,4,8,1
1340.jpg,1,9,9,-1
1341.jpg,0,,,1
1342.jpg,1,12,12,-1
1343.jpg,1,11,12,-1
1344.jpg,1,10,12,0
1345.jpg,0,,,1
1346.jpg,0,,,-1
1347.jpg,0,,,0
1348.jpg,0,,,1
1349.jpg,0,,,-1
135.jpg,0,,,-1
1350.jpg,0,,,1
1351.jpg,0,,,-1
1352.jpg,1,12,11,1
1353.jpg,1,10,4,-1
1354.jpg,0,,,1
1355.jpg,0,,,1
1356.jpg,1,12,13,1
1357.jpg,1,12,6,0
1358.jpg,0,,,1
1359.jpg,1,10,12,-1
136.jpg,0,,,1
1360.jpg,0,,,-1
1361.jpg,1,7,6,1
1362.jpg,1,11,10,1
1363.jpg,0,,,-1
1364.jpg,0,,,1
1365.jpg,1,12,10,1
1366.jpg,0,,,-1
1367.jpg,0,,,1
1368.jpg,1,6,12,1
1369.jpg,0,,,-1
137.jpg,1,10,10,-1
1370.jpg,1,6,5,1
1371.jpg,1,12,6,1
1372.jpg,0,,,-1
1373.jpg,0,,,1
1374.jpg,1,12,11,-1
1375.jpg,0,,,0
1376.jpg,0,,,1
1377.jpg,0,,,0
1378.jpg,1,9,12,-1
1379.jpg,0,,,0
138.jpg,0,,,0
1380.jpg,0,,,-1
1381.jpg,1,11,11,0
1382.jpg,0,,,1
1383.jpg,1,12,12,0
1384.jpg,0,,,-1
1385.jpg,0,,,0
1386.jpg,0,,,1
1387.jpg,0,,,1
1388.jpg,0,,,1
1389.jpg,1,12,12,-1
139.jpg,1,12,12,1
1390.jpg,0,,,1
1391.jpg,0,,,1
1392.jpg,0,,,1
1393.jpg,1,12,12,-1
1394.jpg,1,10,8,1
1395.jpg,1,12,12,-1
1396.jpg,0,,,1
1397.jpg,0,,,1
1398.jpg,0,,,1
1399.jpg,0,,,1
14.jpg,1,7,10,-1
140.jpg,0,,,0
1400.jpg,1,12,12,-1
1401.jpg,1,12,12,-1
1402.jpg,1,12,13,1
1403.jpg,0,,,0
1404.jpg,0,,,1
1405.jpg,1,9,12,-1
1406.jpg,0,,,-1
1407.jpg,1,12,5,-1
1408.jpg,0,,,1
1409.jpg,1,12,12,-1
141.jpg,0,,,1
1410.jpg,0,,,1
1411.jpg,0,,,1
1412.jpg,0,,,1
1413.jpg,0,,,-1
1414.jpg,0,,,-1
1415.jpg,1,12,10,1
1416.jpg,1,6,7,1
1417.jpg,1,10,5,1
1418.jpg,1,12,9,1
1419.jpg,1,10,11,1
142.jpg,1,12,10,-1
1420.jpg,0,,,1
1421.jpg,1,4,6,1
1422.jpg,0,,,1
1423.jpg,0,,,0
1424.jpg,1,12,6,1
1425.jpg,1,12,12,1
1426.jpg,0,,,1
1427.jpg,0,,,1
1428.jpg,1,7,13,1
1429.jpg,1,10,9,1
143.jpg,1,10,11,0
1430.jpg,1,12,12,-1
1431.jpg,1,11,7,-1
1432.jpg,0,,,-1
1433.jpg,1,12,12,-1
1434.jpg,0,,,-1
1435.jpg,0,,,0
1436.jpg,0,,,1
1437.jpg,1,12,12,1
1438.jpg,0,,,-1
1439.jpg,0,,,1
144.jpg,0,,,-1
1440.jpg,1,12,12,1
1441.jpg,1,12,6,1
1442.jpg,1,5,10,1
1443.jpg,1,9,9,-1
1444.jpg,0,,,1
1445.jpg,0,,,1
1446.jpg,1,12,12,-1
1447.jpg,1,12,6,1
1448.jpg,1,6,12,-1
1449.jpg,0,,,-1
145.jpg,0,,,0
1450.jpg,0,,,1
1451.jpg,1,12,4,0
1452.jpg,1,12,8,1
1453.jpg,1,9,9,-1
1454.jpg,1,12,12,-1
1455.jpg,0,,,-1
1456.jpg,0,,,-1
1457.jpg,0,,,1
1458.jpg,0,,,0
1459.jpg,0,,,1
146.jpg,0,,,0
1460.jpg,0,,,-1
1461.jpg,0,,,-1
1462.jpg,1,7,12,0
1463.jpg,1,11,12,-1
1464.jpg,1,12,12,0
1465.jpg,0,,,0
1466.jpg,1,12,12,-1
1467.jpg,1,12,12,-1
1468.jpg,0,,,1
1469.jpg,1,11,12,0
147.jpg,1,10,10,-1
1470.jpg,0,,,1
1471.jpg,1,9,12,-1
1472.jpg,0,,,1
1473.jpg,1,4,9,-1
1474.jpg,0,,,1
1475.jpg,0,,,0
1476.jpg,0,,,-1
1477.jpg,1,12,6,1
1478.jpg,0,,,1
1479.jpg,0,,,1
148.jpg,0,,,0
1480.jpg,0,,,-1
1481.jpg,1,12,12,-1
1482.jpg,1,12,6,1
1483.jpg,1,7,12,1
1484.jpg,1,12,13,0
1485.jpg,0,,,-1
1486.jpg,0,,,0
1487.jpg,0,,,1
1488.jpg,1,12,11,1
1489.jpg,1,12,10,0
149.jpg,0,,,0
1490.jpg,0,,,0
1491.jpg,0,,,1
1492.jpg,1,5,8,-1
1493.jpg,1,6,12,-1
1494.jpg,0,,,1
1495.jpg,1,9,9,-1
1496.jpg,1,12,6,1
1497.jpg,0,,,0
1498.jpg,1,9,12,-1
1499.jpg,0,,,1
15.jpg,1,12,11,1
150.jpg,0,,,0
1500.jpg,0,,,-1
1501.jpg,1,7,6,1
1502.jpg,0,,,0
1503.jpg,1,11,6,-1
1504.jpg,0,,,-1
1505.jpg,1,12,6,1
1506.jpg,0,,,-1
1507.jpg,1,12,12,0
1508.jpg,1,12,12,-1
1509.jpg,1,7,6,1
151.jpg,0,,,0
1510.jpg,0,,,0
1511.jpg,0,,,1
1512.jpg,0,,,0
1513.jpg,1,9,9,-1
1514.jpg,0,,,1
1515.jpg,1,12,6,1
1516.jpg,1,5,11,1
1517.jpg,0,,,-1
1518.jpg,0,,,1
1519.jpg,1,12,12,-1
152.jpg,1,12,10,1
1520.jpg,1,12,12,0
1521.jpg,0,,,1
1522.jpg,0,,,-1
1523.jpg,1,5,6,1
1524.jpg,1,5,12,-1
1525.jpg,1,9,9,-1
1526.jpg,0,,,0
1527.jpg,0,,,1
1528.jpg,0,,,0
1529.jpg,1,12,12,-1
153.jpg,0,,,0
1530.jpg,1,12,5,0
1531.jpg,0,,,1
1532.jpg,1,9,9,-1
1533.jpg,1,8,11,-1
1534.jpg,1,12,12,-1
1535.jpg,0,,,1
1536.jpg,1,7,12,1
1537.jpg,0,,,1
1538.jpg,0,,,1
1539.jpg,1,3,9,1
154.jpg,0,,,1
1540.jpg,1,9,9,-1
1541.jpg,0,,,-1
1542.jpg,1,12,12,-1
1543.jpg,1,12,12,-1
1544.jpg,0,,,1
1545.jpg,0,,,0
1546.jpg,0,,,-1
1547.jpg,1,12,11,1
1548.jpg,1,7,13,0
1549.jpg,0,,,0
155.jpg,0,,,1
1550.jpg,0,,,1
1551.jpg,0,,,1
1552.jpg,0,,,1
1553.jpg,1,12,13,1
1554.jpg,0,,,1
1555.jpg,0,,,1
1556.jpg,1,9,9,-1
1557.jpg,0,,,1
1558.jpg,1,9,9,-1
1559.jpg,1,12,8,-1
156.jpg,0,,,1
1560.jpg,1,9,9,-1
1561.jpg,1,9,9,-1
1562.jpg,0,,,0
1563.jpg,0,,,0
1564.jpg,0,,,1
1565.jpg,1,9,9,-1
1566.jpg,1,10,11,1
1567.jpg,1,9,9,-1
1568.jpg,0,,,0
1569.jpg,0,,,1
157.jpg,0,,,1
1570.jpg,1,12,12,-1
1571.jpg,0,,,-1
1572.jpg,0,,,1
1573.jpg,1,11,6,1
1574.jpg,1,12,12,-1
1575.jpg,0,,,0
1576.jpg,1,12,11,-1
1577.jpg,1,9,12,-1
1578.jpg,1,12,6,0
1579.jpg,1,12,12,-1
158.jpg,1,13,12,-1
1580.jpg,1,12,12,-1
1581.jpg,0,,,1
1582.jpg,0,,,0
1583.jpg,1,11,10,1
1584.jpg,1,12,6,0
1585.jpg,0,,,0
1586.jpg,0,,,-1
1587.jpg,0,,,0
1588.jpg,0,,,1
1589.jpg,0,,,0
159.jpg,1,7,8,-1
1590.jpg,0,,,-1
1591.jpg,1,11,6,1
1592.jpg,1,11,6,1
1593.jpg,0,,,0
1594.jpg,1,10,11,1
1595.jpg,1,9,9,-1
1596.jpg,1,9,9,-1
1597.jpg,0,,,-1
1598.jpg,1,11,11,0
1599.jpg,1,12,3,-1
16.jpg,0,,,-1
160.jpg,0,,,1
1600.jpg,0,,,-1
1601.jpg,1,11,12,-1
1602.jpg,1,7,11,0
1603.jpg,0,,,1
1604.jpg,0,,,1
1605.jpg,1,7,12,-1
1606.jpg,1,7,6,0
1607.jpg,0,,,0
1608.jpg,1,10,11,1
1609.jpg,1,10,13,1
161.jpg,0,,,0
1610.jpg,0,,,0
1611.jpg,1,10,12,-1
1612.jpg,1,12,11,1
1613.jpg,0,,,1
1614.jpg,0,,,1
1615.jpg,0,,,1
1616.jpg,0,,,1
1617.jpg,1,12,12,-1
1618.jpg,1,11,6,1
1619.jpg,1,11,12,-1
162.jpg,0,,,-1
1620.jpg,1,12,5,1
1621.jpg,1,11,11,1
1622.jpg,0,,,1
1623.jpg,0,,,0
1624.jpg,0,,,1
1625.jpg,1,5,12,0
1626.jpg,1,12,12,-1
1627.jpg,0,,,1
1628.jpg,0,,,1
1629.jpg,0,,,1
163.jpg,0,,,0
1630.jpg,0,,,1
1631.jpg,0,,,0
1632.jpg,1,12,11,-1
1633.jpg,0,,,-1
1634.jpg,0,,,1
1635.jpg,1,11,12,1
1636.jpg,1,10,9,-1
1637.jpg,0,,,1
1638.jpg,0,,,1
1639.jpg,0,,,-1
164.jpg,1,7,5,1
1640.jpg,0,,,1
1641.jpg,0,,,0
1642.jpg,1,12,12,-1
1643.jpg,0,,,1
1644.jpg,0,,,-1
1645.jpg,0,,,1
1646.jpg,0,,,1
1647.jpg,0,,,-1
1648.jpg,0,,,-1
1649.jpg,0,,,1
165.jpg,0,,,-1
1650.jpg,0,,,0
1651.jpg,0,,,1
1652.jpg,1,12,11,0
1653.jpg,0,,,0
1654.jpg,1,12,12,-1
1655.jpg,1,11,12,1
1656.jpg,1,10,12,1
1657.jpg,1,12,11,1
1658.jpg,0,,,1
1659.jpg,0,,,1
166.jpg,0,,,1
1660.jpg,0,,,1
1661.jpg,1,12,12,0
1662.jpg,0,,,1
1663.jpg,1,12,12,0
1664.jpg,1,11,12,1
1665.jpg,0,,,0
1666.jpg,1,12,12,-1
1667.jpg,0,,,1
1668.jpg,1,11,12,1
1669.jpg,0,,,1
167.jpg,1,12,12,1
1670.jpg,1,12,11,-1
1671.jpg,1,12,6,1
1672.jpg,0,,,1
1673.jpg,0,,,1
1674.jpg,1,12,6,1
1675.jpg,1,12,12,-1
1676.jpg,1,12,7,-1
1677.jpg,0,,,0
1678.jpg,0,,,0
1679.jpg,0,,,1
168.jpg,0,,,-1
1680.jpg,0,,,1
1681.jpg,0,,,1
1682.jpg,0,,,-1
1683.jpg,1,12,12,-1
1684.jpg,1,12,11,0
1685.jpg,0,,,1
1686.jpg,1,12,10,1
1687.jpg,0,,,1
1688.jpg,1,12,12,-1
1689.jpg,0,,,0
169.jpg,0,,,0
1690.jpg,0,,,0
1691.jpg,0,,,-1
1692.jpg,0,,,0
1693.jpg,0,,,1
1694.jpg,0,,,1
1695.jpg,0,,,1
1696.jpg,1,11,12,1
1697.jpg,1,11,12,-1
1698.jpg,0,,,1
1699.jpg,1,12,12,-1
17.jpg,0,,,1
170.jpg,0,,,0
1700.jpg,1,6,12,1
1701.jpg,0,,,1
1702.jpg,1,4,12,-1
1703.jpg,0,,,1
1704.jpg,0,,,1
1705.jpg,0,,,1
1706.jpg,1,11,12,-1
1707.jpg,1,11,11,1
1708.jpg,1,12,11,1
1709.jpg,1,12,12,1
171.jpg,1,3,10,1
1710.jpg,1,12,6,1
1711.jpg,1,11,11,1
1712.jpg,0,,,1
1713.jpg,1,6,11,-1
1714.jpg,0,,,1
1715.jpg,1,5,11,1
1716.jpg,0,,,-1
1717.jpg,1,6,11,1
1718.jpg,0,,,-1
1719.jpg,1,11,12,1
172.jpg,0,,,0
1720.jpg,0,,,-1
1721.jpg,1,11,12,1
1722.jpg,1,12,12,-1
1723.jpg,1,2,12,1
1724.jpg,0,,,1
1725.jpg,1,4,6,1
1726.jpg,0,,,0
1727.jpg,1,12,12,-1
1728.jpg,0,,,-1
1729.jpg,1,2,12,-1
173.jpg,0,,,0
1730.jpg,1,4,11,1
1731.jpg,1,12,4,-1
1732.jpg,1,6,7,1
1733.jpg,0,,,-1
1734.jpg,1,12,11,0
1735.jpg,0,,,-1
1736.jpg,0,,,1
1737.jpg,0,,,-1
1738.jpg,0,,,1
1739.jpg,0,,,-1
174.jpg,0,,,0
1740.jpg,0,,,1
1741.jpg,0,,,1
1742.jpg,1,11,12,1
1743.jpg,1,12,8,-1
1744.jpg,0,,,1
1745.jpg,0,,,0
1746.jpg,0,,,1
1747.jpg,1,12,11,1
1748.jpg,0,,,1
1749.jpg,0,,,1
175.jpg,0,,,0
1750.jpg,0,,,1
1751.jpg,0,,,1
1752.jpg,0,,,1
1753.jpg,1,7,12,-1
1754.jpg,0,,,-1
1755.jpg,0,,,-1
1756.jpg,0,,,-1
1757.jpg,0,,,0
1758.jpg,0,,,0
1759.jpg,0,,,1
176.jpg,1,11,10,0
1760.jpg,0,,,1
1761.jpg,1,7,10,-1
1762.jpg,1,12,3,-1
1763.jpg,0,,,1
1764.jpg,1,12,12,-1
1765.jpg,0,,,1
1766.jpg,0,,,-1
1767.jpg,1,11,12,0
1768.jpg,1,12,12,-1
1769.jpg,1,6,12,1
177.jpg,0,,,1
1770.jpg,1,12,11,1
1771.jpg,0,,,-1
1772.jpg,0,,,-1
1773.jpg,1,12,12,-1
1774.jpg,1,11,11,1
1775.jpg,0,,,0
1776.jpg,1,12,10,-1
1777.jpg,0,,,0
1778.jpg,0,,,1
1779.jpg,1,12,12,-1
178.jpg,0,,,0
1780.jpg,0,,,1
1781.jpg,1,12,12,-1
1782.jpg,0,,,0
1783.jpg,0,,,-1
1784.jpg,0,,,1
1785.jpg,0,,,0
1786.jpg,1,5,11,1
1787.jpg,1,7,11,0
1788.jpg,1,11,7,1
1789.jpg,1,12,12,-1
179.jpg,0,,,1
1790.jpg,0,,,-1
1791.jpg,0,,,-1
1792.jpg,0,,,-1
1793.jpg,0,,,1
1794.jpg,1,12,12,-1
1795.jpg,1,6,3,1
1796.jpg,1,12,11,-1
1797.jpg,1,11,12,1
1798.jpg,0,,,1
1799.jpg,0,,,1
18.jpg,1,8,5,-1
180.jpg,0,,,0
1800.jpg,1,3,12,0
1801.jpg,1,7,11,1
1802.jpg,1,12,11,1
1803.jpg,0,,,1
1804.jpg,0,,,1
1805.jpg,1,6,12,0
1806.jpg,1,11,11,1
1807.jpg,0,,,1
1808.jpg,0,,,0
1809.jpg,0,,,0
181.jpg,0,,,0
1810.jpg,1,11,11,1
1811.jpg,0,,,0
1812.jpg,0,,,-1
1813.jpg,1,12,12,-1
1814.jpg,0,,,-1
1815.jpg,0,,,1
1816.jpg,0,,,1
1817.jpg,1,12,5,-1
1818.jpg,0,,,1
1819.jpg,0,,,0
182.jpg,0,,,1
1820.jpg,1,11,4,1
1821.jpg,0,,,0
1822.jpg,1,12,12,1
1823.jpg,0,,,1
1824.jpg,1,12,11,1
1825.jpg,1,4,3,-1
1826.jpg,0,,,1
1827.jpg,1,11,12,1
1828.jpg,0,,,-1
1829.jpg,0,,,-1
183.jpg,1,12,12,1
1830.jpg,0,,,1
1831.jpg,0,,,1
1832.jpg,0,,,-1
1833.jpg,0,,,1
1834.jpg,0,,,1
1835.jpg,0,,,-1
1836.jpg,0,,,-1
1837.jpg,0,,,1
1838.jpg,1,5,12,-1
1839.jpg,0,,,1
184.jpg,0,,,1
1840.jpg,1,12,5,-1
1841.jpg,0,,,-1
1842.jpg,0,,,1
1843.jpg,1,12,9,-1
1844.jpg,0,,,0
1845.jpg,0,,,1
1846.jpg,1,11,12,-1
1847.jpg,1,12,12,-1
1848.jpg,1,12,5,-1
1849.jpg,1,12,12,-1
185.jpg,1,12,10,1
1850.jpg,0,,,0
1851.jpg,0,,,-1
1852.jpg,1,12,11,1
1853.jpg,0,,,0
1854.jpg,0,,,0
1855.jpg,0,,,0
1856.jpg,1,5,12,-1
1857.jpg,0,,,1
1858.jpg,0,,,1
1859.jpg,0,,,0
186.jpg,1,12,12,1
1860.jpg,1,12,11,1
1861.jpg,1,12,5,0
1862.jpg,0,,,-1
1863.jpg,0,,,1
1864.jpg,0,,,1
1865.jpg,1,12,12,-1
1866.jpg,1,12,11,1
1867.jpg,1,12,12,-1
1868.jpg,0,,,0
1869.jpg,0,,,-1
187.jpg,0,,,0
1870.jpg,0,,,1
1871.jpg,0,,,1
1872.jpg,0,,,1
1873.jpg,0,,,-1
1874.jpg,0,,,1
1875.jpg,1,3,12,1
1876.jpg,1,12,12,-1
1877.jpg,1,3,7,-1
1878.jpg,0,,,1
